  PATHSUM
  -------

  The PATHSUM package was developed by Sohang Kundu and Nancy Makri
  See J. Chem. Phys. 158, 224801 (2023)
  The Fortran code was written by Nancy Makri

  Key ideas that led to the algorithms used in the 
  PATHSUM code are described in the following papers:
  J. Math. Phys. 36, 2430-2457 (1995)
  J. Chem. Phys. 141, 134117 (2014)
  J. Chem. Phys. 152, 041104 (2020)

  Discrete system with  2 states
  Reciprocal temperature beta =    5.000 a.u.
  Time step dt =   0.200 a.u.
  Path threshold =  0.1D-39
  Common bath
  sdvr values:  1.00 -1.00

  Hamiltonian matrix in a.u.:
      1.00   -1.00
     -1.00   -1.00

   Eigenvalues of system Hamiltonian:
   -1.414214
    1.414214

  Ohmic spectral density with xi = 0.10   wc = 7.50
  Reorganization energy =   1.50000 a.u.

  PATHSUM results below: time (in a.u.), site populations and norm
  Real and imaginary parts of RDM in files ReRDM and ImRDM

  SMatPI RESULTS
  The SMatPI decomposition is described in
  J. Chem. Phys. 152, 041104 (2020)
  J. Chem. Theory and Comput. 16, 4038-4049 (2020)
  J. Chem. Theory and Comput. 17, 1-6 (2021)
  Calculations within entanglement interval performed using QuAPI
  The QuAPI method is described in Chem. Phys. Lett. 193, 435-444 (1992)

  Entanglement length rmax =  6*dt  Extended memory length L =  6*dt

          0.200   0.961055354   0.038944646   1.000000000
          0.400   0.861827121   0.138172879   1.000000000
          0.600   0.732266850   0.267733150   1.000000000
          0.800   0.604574666   0.395425334   1.000000000
          1.000   0.506174604   0.493825396   1.000000000
          1.200   0.453491287   0.546508713   1.000000000
          1.400   0.448833014   0.551166986   1.000000000
          1.600   0.481267260   0.518732740   1.000000000
          1.800   0.530896341   0.469103659   1.000000000
          2.000   0.575272693   0.424727307   1.000000000
          2.200   0.595963008   0.404036992   1.000000000
          2.400   0.583339666   0.416660334   1.000000000
          2.600   0.538425977   0.461574023   1.000000000
          2.800   0.471562338   0.528437662   1.000000000
          3.000   0.398576687   0.601423313   1.000000000
          3.200   0.335779016   0.664220984   1.000000000
          3.400   0.295303695   0.704696305   1.000000000
          3.600   0.282078381   0.717921619   1.000000000
          3.800   0.293116665   0.706883335   1.000000000
          4.000   0.319109579   0.680890421   1.000000000
          4.200   0.347645806   0.652354194   1.000000000
          4.400   0.366996106   0.633003894   1.000000000
          4.600   0.369341228   0.630658772   1.000000000
          4.800   0.352587420   0.647412580   1.000000000
          5.000   0.320394208   0.679605792   1.000000000
          5.200   0.280578988   0.719421012   1.000000000
          5.400   0.242504488   0.757495512   1.000000000
          5.600   0.214283278   0.785716722   1.000000000
